Var1,Var2,value
Adeno_logGCpermLsample,Adeno_logGCpermLsample,NA
CrAss_logGCpermLsample,Adeno_logGCpermLsample,0.024003191
PMMV_logGCpermLsample,Adeno_logGCpermLsample,0.965590269
uidA_logGCpermLsample,Adeno_logGCpermLsample,0.106252372
log(Raw Flow (MLD)),Adeno_logGCpermLsample,0.185313175
log(TS (mg/L)),Adeno_logGCpermLsample,0.185313175
pH_Grab,Adeno_logGCpermLsample,0.084362118
log(Turbidity (NTU)),Adeno_logGCpermLsample,0.0293851
log(TSS (mg/L)),Adeno_logGCpermLsample,0.001109268
log(BOD (mg/L)),Adeno_logGCpermLsample,0.185313175
log(cBOD (mg/L)),Adeno_logGCpermLsample,0.499707107
log(sCOD (mg/L)),Adeno_logGCpermLsample,1
log(COD (mg/L)),Adeno_logGCpermLsample,1
log(NH4-N (mg/L)),Adeno_logGCpermLsample,0.185313175
log(NOx-N (mg/L)),Adeno_logGCpermLsample,0.185313175
log(PO4-P (mg/L)),Adeno_logGCpermLsample,0.012843447
log(TP (mg/L)),Adeno_logGCpermLsample,0.376844824
log(TOC (mg/L)),Adeno_logGCpermLsample,0.185313175
log(TN (mg/L)),Adeno_logGCpermLsample,0.185313175
log(Grab Flow (MLD)),Adeno_logGCpermLsample,0.500316222
log(Grab Temp (C)),Adeno_logGCpermLsample,0.00041356
log(Filtered UVT_Grab (%)),Adeno_logGCpermLsample,1
log(E-coli (MPN/mL)),Adeno_logGCpermLsample,0.047879368
log(Fecal (MPN/mL)),Adeno_logGCpermLsample,0.000293719
Cumulative 3-day pre-sampling-day precip (mm),Adeno_logGCpermLsample,0.665739686
log(Mean temp (K)),Adeno_logGCpermLsample,0.185313175
Adeno_logGCpermLsample,CrAss_logGCpermLsample,0.024003191
CrAss_logGCpermLsample,CrAss_logGCpermLsample,NA
PMMV_logGCpermLsample,CrAss_logGCpermLsample,0.37856867
uidA_logGCpermLsample,CrAss_logGCpermLsample,0.000521134
log(Raw Flow (MLD)),CrAss_logGCpermLsample,0.457295869
log(TS (mg/L)),CrAss_logGCpermLsample,0.457295869
pH_Grab,CrAss_logGCpermLsample,0.006560019
log(Turbidity (NTU)),CrAss_logGCpermLsample,0.0293851
log(TSS (mg/L)),CrAss_logGCpermLsample,0.014404184
log(BOD (mg/L)),CrAss_logGCpermLsample,0.457295869
log(cBOD (mg/L)),CrAss_logGCpermLsample,0.916115402
log(sCOD (mg/L)),CrAss_logGCpermLsample,0.339596646
log(COD (mg/L)),CrAss_logGCpermLsample,0.339596646
log(NH4-N (mg/L)),CrAss_logGCpermLsample,0.457295869
log(NOx-N (mg/L)),CrAss_logGCpermLsample,0.457295869
log(PO4-P (mg/L)),CrAss_logGCpermLsample,0.118624554
log(TP (mg/L)),CrAss_logGCpermLsample,0.841481134
log(TOC (mg/L)),CrAss_logGCpermLsample,0.457295869
log(TN (mg/L)),CrAss_logGCpermLsample,0.457295869
log(Grab Flow (MLD)),CrAss_logGCpermLsample,0.78955667
log(Grab Temp (C)),CrAss_logGCpermLsample,2.02E-05
log(Filtered UVT_Grab (%)),CrAss_logGCpermLsample,0.339596646
log(E-coli (MPN/mL)),CrAss_logGCpermLsample,0.22899397
log(Fecal (MPN/mL)),CrAss_logGCpermLsample,0.001076979
Cumulative 3-day pre-sampling-day precip (mm),CrAss_logGCpermLsample,0.431578746
log(Mean temp (K)),CrAss_logGCpermLsample,0.457295869
