"Var1","Var2","value"
"Adeno_logGCpermLsample","Adeno_logGCpermLsample",1
"CrAss_logGCpermLsample","Adeno_logGCpermLsample",-0.643356643356643
"PMMV_logGCpermLsample","Adeno_logGCpermLsample",0.013986013986014
"uidA_logGCpermLsample","Adeno_logGCpermLsample",-0.48951048951049
"log(Raw Flow (MLD))","Adeno_logGCpermLsample",-0.410241841233154
"log(TS (mg/L))","Adeno_logGCpermLsample",-0.410241841233154
"pH_Grab","Adeno_logGCpermLsample",0.518200220505037
"log(Turbidity (NTU))","Adeno_logGCpermLsample",0.626158599776919
"log(TSS (mg/L))","Adeno_logGCpermLsample",0.819346490398703
"log(BOD (mg/L))","Adeno_logGCpermLsample",0.410241841233154
"log(cBOD (mg/L))","Adeno_logGCpermLsample",0.216216434966324
"log(sCOD (mg/L))","Adeno_logGCpermLsample",0
"log(COD (mg/L))","Adeno_logGCpermLsample",0
"log(NH4-N (mg/L))","Adeno_logGCpermLsample",0.410241841233154
"log(NOx-N (mg/L))","Adeno_logGCpermLsample",-0.410241841233154
"log(PO4-P (mg/L))","Adeno_logGCpermLsample",-0.690933627340049
"log(TP (mg/L))","Adeno_logGCpermLsample",-0.280691786106895
"log(TOC (mg/L))","Adeno_logGCpermLsample",0.410241841233154
"log(TN (mg/L))","Adeno_logGCpermLsample",0.410241841233154
"log(Grab Flow (MLD))","Adeno_logGCpermLsample",0.215916758543765
"log(Grab Temp (C))","Adeno_logGCpermLsample",-0.853485927498649
"log(Filtered UVT_Grab (%))","Adeno_logGCpermLsample",0
"log(E-coli (MPN/mL))","Adeno_logGCpermLsample",0.580370430699081
"log(Fecal (MPN/mL))","Adeno_logGCpermLsample",0.863667034175061
"Cumulative 3-day pre-sampling-day precip (mm)","Adeno_logGCpermLsample",0.139373668334515
"log(Mean temp (K))","Adeno_logGCpermLsample",-0.410241841233154
"Adeno_logGCpermLsample","CrAss_logGCpermLsample",-0.643356643356643
"CrAss_logGCpermLsample","CrAss_logGCpermLsample",1
