"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-01","2019","01","01","","-17.1","","-25.7","","-21.4","","39.4","","0.0","","","","","","0.1","","","","22","","34",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-02","2019","01","02","","-4.0","","-17.6","","-10.8","","28.8","","0.0","","","","","","0.3","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-03","2019","01","03","","5.3","","-4.2","","0.6","","17.4","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-04","2019","01","04","","1.0","","-4.8","","-1.9","","19.9","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-05","2019","01","05","","-1.8","","-9.4","","-5.6","","23.6","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-06","2019","01","06","","-2.8","","-12.3","","-7.5","","25.5","","0.0","","","","","","7.7","","","","10","","34",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-07","2019","01","07","","1.7","","-7.9","","-3.1","","21.1","","0.0","","","","","","2.9","","","","24","","34",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-08","2019","01","08","","-7.9","","-15.6","","-11.7","","29.7","","0.0","","","","","","0.2","","","","33","","35",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-09","2019","01","09","","-15.1","","-17.5","","-16.3","","34.3","","0.0","","","","","","0.0","","","","34","","32",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-10","2019","01","10","","-8.7","","-16.0","","-12.4","","30.4","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-11","2019","01","11","","-9.1","","-12.0","","-10.5","","28.5","","0.0","","","","","","0.2","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-12","2019","01","12","","-5.1","","-12.6","","-8.9","","26.9","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-13","2019","01","13","","-4.8","","-6.7","","-5.7","","23.7","","0.0","","","","","","0.1","","","","18","","31",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-14","2019","01","14","","-6.1","","-11.0","","-8.6","","26.6","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-15","2019","01","15","","-3.3","","-22.8","","-13.0","","31.0","","0.0","","","","","","0.0","","","","33","","44",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-16","2019","01","16","","-18.1","","-24.5","","-21.3","","39.3","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-17","2019","01","17","","-16.6","","-23.0","","-19.8","","37.8","","0.0","","","","","","0.1","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-18","2019","01","18","","-23.0","","-27.4","","-25.2","","43.2","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-19","2019","01","19","","-24.2","","-28.7","","-26.4","","44.4","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-20","2019","01","20","","-21.5","","-31.2","","-26.3","","44.3","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-21","2019","01","21","","-11.0","","-22.9","","-17.0","","35.0","","0.0","","","","","","0.1","","","","16","","33",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-22","2019","01","22","","-9.1","","-11.5","","-10.3","","28.3","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-23","2019","01","23","","-8.7","","-19.4","","-14.0","","32.0","","0.0","","","","","","0.9","","","","31","","41",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-24","2019","01","24","","-19.4","","-26.6","","-23.0","","41.0","","0.0","","","","","","0.1","","","","2","","36",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-25","2019","01","25","","-23.9","","-29.5","","-26.7","","44.7","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-26","2019","01","26","","-22.9","","-29.4","","-26.2","","44.2","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-27","2019","01","27","","-19.1","","-28.9","","-24.0","","42.0","","0.0","","","","","","1.8","","","","7","","34",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-28","2019","01","28","","-17.3","","-26.2","","-21.8","","39.8","","0.0","","","","","","0.9","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-29","2019","01","29","","-26.1","","-34.1","","-30.1","","48.1","","0.0","","","","","","0.0","","","","31","","33",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-30","2019","01","30","","-28.9","","-34.8","","-31.9","","49.9","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-01-31","2019","01","31","","-20.8","","-33.5","","-27.1","","45.1","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-01","2019","02","01","","-10.2","","-20.9","","-15.5","","33.5","","0.0","","","","","","0.5","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-02","2019","02","02","","-13.7","","-17.2","","-15.5","","33.5","","0.0","","","","","","0.0","","","","","","",""
"-97.13","49.89","WINNIPEG THE FORKS","5023262","2019-02-03","2019","02","03","","-17.2","","-22.1","","-19.7","","37.7","","0.0","","","","","","1.2","","","","1","","35",""
